id,name,installed_capacity_MW,pumping_MW,type,country_code,lat,lon,dam_height_m,volume_Mm3,storage_capacity_MWh,avg_annual_generation_GWh,pypsa_id,GEO,WRI
H2215,Radove,2,,HROR,AL,40.13735833,20.55160556,,,,11.6,,,
H2216,Sella,1.93,,HDAM,CH,46.55246375,8.586661903,36,9.2,,,6116,,
H2217,Bevieux,1.9,,HROR,CH,46.26038119,7.028814127,,,,,4156,,
H2218,Chamarin,1.9,,HROR,CH,46.31483112,7.43176342,,,,,4390,,
H2219,Clemgia,1.9,,HROR,CH,46.78849404,10.29691776,,,,,4417,,
H222,Seitevare Seitevare G1 - Seitevare Hydroelectric Power Station Sweden,225,,HDAM,SE,66.976846,18.573706,106,1675,,760,9,46254,
H2220,Giessen,1.9,,HROR,CH,47.21784522,9.209392592,,,,,4851,,
H2221,Lorzentobel,1.9,,HROR,CH,47.17202039,8.56064288,,,,,5278,,
H2222,Ujanik 2,1.9,,HROR,AL,40.65228889,20.24792778,,,,9.57,,,
H2223,Flor,1.88,,HROR,CH,47.08808419,9.340261785,,,,,4758,,
H2224,Hydro vierre Hydro de la Vierre - Hydro de la Vierre,1.875796178,,HDAM,BE,49.733,5.377,12,1.3,,,871,42010,
H2225,Schwanden gemeinde,1.8,,HROR,CH,46.99564066,9.086996851,,,,,6105,,
H2226,Trempel,1.8,,HROR,CH,47.24948836,9.163668355,,,,,6304,,
H2227,Butgenbach Butgenbach Hydroelectric Power plant Belgium - Butgenbach Hydroelectric Power plant Belgium,1.777070064,,HDAM,BE,50.4359,6.2106,28,11,,,867,42012,
H2228,Stenna flims flembach,1.73,,HROR,CH,46.83375685,9.282896224,,,,,6178,,
H2230,"Er palier isérables c, arcay",1.7,,HROR,CH,46.16093543,7.24886404,,,,,4672,,
H2231,Thurfeld,1.7,,HROR,CH,47.5192647,9.207086972,,,,,6248,,
H2232,Grido,1.68,,HDAM,CH,46.62641983,8.050242336,,,,,4901,,
H2233,Lorzentobel,1.67,,HROR,CH,47.18035372,8.554748504,,,,,5279,,
H2234,Sonzier,1.65,,HROR,CH,46.44032313,6.925171654,,,,,6161,,
H2235,Täschbach,1.65,,HROR,CH,46.06720508,7.781118327,,,,,6328,,
H2236,Sustli,1.63,,HROR,CH,46.96377645,8.483363564,,,,,6195,,
H2237,Göschenen unterdorf,1.62,,HROR,CH,46.66781915,8.58467036,,,,,4938,,
H2238,Linthwerk,1.6,,HROR,CH,46.92605396,8.999893509,,,,,5262,,
H2239,Nandrò,1.59,,HROR,CH,46.5681521,9.570275421,,,,,5576,,
H224,Soverzene UP_SOVERZENE_1,213.5,,HDAM,IT,46.201029,12.302334,284,78.3,52718,710,262,,
H2240,Riddes l'eau potable,1.565,,HROR,CH,46.16890503,7.228379036,,,,,5971,,
H2241,Madulain,1.56,,HROR,CH,46.58527095,9.93630252,,,,,5319,,
H2242,Dornachbrugg,1.54,,HROR,CH,47.4890185,7.607406154,,,,,4568,,
H2243,Bürglen loreto,1.5,,HROR,CH,46.87652924,8.663371668,,,,,4270,,
H2244,Raimat,1.5,,HROR,CH,47.00009483,9.501152888,,,,,5911,,
H2245,Val giuf,1.5,,HROR,CH,46.67133644,8.750729475,,,,,6373,,
H2246,Pack,1.5,,HDAM,AT,46.979012,15.022876,,,,,5685,,
H2247,Kleintal isenthal,1.483,,HROR,CH,46.91004298,8.562265169,,,,,5168,,
H2248,Paraya,1.48,,HROR,CH,46.41963529,9.234467239,,,,,5712,,
H2249,Hospitalet,1.47,,HROR,CH,45.88600196,7.18722185,,,,,5001,,
H225,Wallsee mitterkirchen Wallsee-Mitterkirchen-KW - Wallsee- Mitterkirchen Hydroelectric Power Plant Austria,210,,HROR,AT,48.166415,14.695103,,,,1318,124,45166,
H2250,Silvaplana,1.47,,HROR,CH,46.45962429,9.793376732,,,,,6144,,
H2251,Sihl höfe,1.45,,HROR,CH,47.17733569,8.682395765,,,,,6140,,
H2252,Gipuzkoako urak,1.442,,HROR,CH,46.26591756,7.781588383,,,,,4854,,
H2253,Wässerwasserkraftwerk mund,1.44,,HROR,CH,46.31423894,7.945729533,,,,,6489,,
H2254,Wässerwasserkraftwerk mund,1.44,,HROR,CH,46.31423894,7.945729533,,,,,6490,,
H2255,Grabs löchli,1.43,,HROR,CH,47.17572709,9.430203649,,,,,4875,,
H2256,Linthkraft netstal,1.42,,HROR,CH,47.07374951,9.060690799,,,,,5260,,
H2257,Höngg,1.4,,HROR,CH,47.40146932,8.48651399,,,,,5021,,
H2258,Tucep / Tuçep,1.4,,HROR,AL,41.44522,20.5049,,,,7.5,,,
H2259,Morgental abwasser,1.387,,HROR,CH,47.50056662,9.427904324,,,,,5508,,
H226,Fadalto UP_FADALTO_1,240,210,HPHS,IT,46.028439,12.300677,,,,,211,,
H2260,Berner green gmbh,1.37,,HROR,CH,46.66691626,7.464118512,,,,,4148,,
H2261,Mülau,1.37,,HROR,CH,47.41087234,9.078116171,,,,,5564,,
H2262,Murkart,1.33,,HROR,CH,47.53748775,8.914382519,,,,,5529,,
H2263,Bassecourt,1.27,,HROR,CH,47.33101593,7.231977249,,,,,4117,,
H2264,Ossasco,1.27,,HROR,CH,46.51263656,8.538384772,,,,,5674,,
H2265,Tagenstal,1.27,,HROR,CH,46.80560492,8.445577054,,,,,6201,,
H2266,Trigemer sa,1.26,,HROR,CH,46.05833724,6.960300386,,,,,6309,,
H2267,Nesslau ijentalerbach,1.25,,HROR,CH,47.22163731,9.184955161,,,,,5591,,
H2268,Saflisch,1.25,,HROR,CH,46.34285701,8.173570384,,,,,6028,,
H2269,Sennwald,1.22,,HROR,CH,47.26157616,9.496054092,,,,,6120,,
H227,Gallejaur Gallejaur G1 - Gallejour Hydroelectric Power Plant Seweden,214,,HDAM,SE,65.127297,19.467367,56,12.6,,661,1,46248,
H2270,Niollet,1.2,,HROR,CH,46.02118389,7.14243628,,,,,5608,,
H2271,Taulan,1.2,,HROR,CH,46.43390549,6.918466799,,,,,6219,,
H2272,Valeis,1.2,,HROR,CH,47.02326223,9.448095053,,,,,6379,,
H2273,Flums neues sägengüetli,1.19,,HROR,CH,47.08862808,9.340017618,,,,,4759,,
H2274,Knežke ravne,1.18,,HROR,CH,47.4592833,8.768831855,,,,,5173,,
H2275,Ziegelbrücke,1.18,,HROR,CH,47.13318748,9.062887359,,,,,6500,,
H2276,Oberterzen,1.16,,HROR,CH,47.10054715,9.259668837,,,,,5640,,
H2277,Melje Melje Hydroelectric Poqwer Plant Slovenia - Melje Hydroelectric Poqwer Plant Slovenia,2.26,,HROR,SI,46.56087,15.67309,,,,8.69,1820,44866,
H2278,Engi hinterdorf sernf,1.13,,HROR,CH,46.71179328,8.360463288,,,,,4664,,
H2279,Kandersteg zilfuri,1.09,,HROR,CH,46.49563349,7.691598934,,,,,5147,,
H228,Vallabregues VALLABREGUES - Beaucaire Hydroelectric Power Station France,210,,HROR,FR,43.82415,4.64349,14,,,,1940,39762,
H2280,Chasseras,1.07,,HROR,CH,46.6140138,10.44144265,,,,,4396,,
H2281,Neuewelt,1.07,,HROR,CH,47.52578187,7.621730117,,,,,5595,,
H2282,Turtig,1.06,,HROR,CH,46.30123283,7.793881283,,,,,6322,,
H2283,Hefti,1.05,,HROR,CH,46.96463478,9.04017863,,,,,4954,,
H2284,Bischofszell,1.02,,HROR,CH,47.49302794,9.234221195,,,,,4196,,
H2286,Klammsee,1,,HROR,AT,47.259384,12.738691,,,,,199,45569,
H2287,Erzbach,1,,HROR,AT,47.573384,14.839885,,,,,628,,
H2288,Kolbnitz trinkwasser,1,,HROR,AT,46.880169,13.31654,,,,,666,,
H2289,Mühldorf,1,,HROR,AT,46.860839,13.347763,,,,,687,,
H229,SALAKOVAC - Salakovac Hydroelectric Power Plant Bosnia and Herzegovina,210,,HDAM,BA,43.448002,17.837,70,68,,590,,44766,
H2290,Ramsaubach,1,,HROR,AT,47.531152,14.886815,,,,,713,,
H2291,Retznei,1,,HROR,AT,46.744338,15.570455,,,,,718,,
H2292,Steinfeld,1,,HROR,AT,46.760732,13.2476,,,,,735,,
H2293,Talbach,1,,HROR,AT,47.39026,13.685191,,,,,741,,
H2294,Teigitschmühle,1,,HROR,AT,47.021513,15.166537,,,,,742,,
H2295,Vordernberg,1,,HROR,AT,47.495437,14.99248,,,,,761,,
H2296,Weissenegg,1,,HROR,AT,46.912548,15.486664,,,,,763,,
H2297,"Am, dotation du châtelot",1,,HROR,CH,47.10144376,6.744403377,,,,,2085,,
H2299,Leuggelbach,1,,HROR,CH,46.97740129,9.047263569,,,,,5247,,
H23,Nant drance NANT DE DRANCE - Nant de Drance Pumped Storage Power Plant Switzerland,900,,HPHS,CH,46.1025948,7.0770551,395,13.8,20000,,2910,45484,
H230,Hpp stejaru STEJ1 - Bicaz-Stejaru Hydroelectric Power Station Romania,208.4,,HDAM,RO,46.9386,26.1029,127,1230,,434,2978,40978,
H2300,Piumogna dalpe,1,,HROR,CH,46.46656378,8.766605897,,,,,5788,,
H2301,Turgi,1,,HROR,CH,47.4960769,8.253998493,,,,,6320,,
H2302,Pack-Speicher,1,,HDAM,AT,46.976002,14.983,,,,,,,
H231,HE DJERDAP II,208,,HROR,RS,44.328999,22.528,35,,,1310,,,
H2328,Parteen Weir,1,,HDAM,IE,52.762083,-8.477083,16,465,,4,,,
H2329,Bag turgi,0.991,,HROR,CH,47.49814996,8.240492765,,,,,4089,,
H233,Guillena GUILLENA GR 1 GENERAC,207,225,HPHS,ES,37.567315,-6.049541,217,2.33,1123,,212,,
H2330,Kwkw dornbach,0.99,,HROR,CH,46.3912093,7.757027025,,,,,5193,,
H2331,Mels tobel,0.99,,HROR,CH,47.03825566,9.392719811,,,,,5380,,
H2332,Buchs vorderberg,0.98,,HROR,CH,47.14900223,9.445827051,,,,,4254,,
H2333,Dietfurt,0.98,,HROR,CH,47.34444353,9.080705976,,,,,4557,,
H2334,Kwkw bachtoli,0.98,,HROR,CH,46.2926425,7.779031385,,,,,5192,,
H2335,Moos,0.98,,HROR,CH,47.43877706,7.581132191,,,,,5500,,
H2336,Soor,0.98,,HROR,CH,47.35644098,9.078427788,,,,,6162,,
H2337,Champéry etrivouez,0.97,,HROR,CH,46.16176273,6.859187667,,,,,4393,,
H2338,Schergenbach,0.96,,HROR,CH,46.96038462,10.42176816,,,,,6100,,
H2339,Valmara,0.95,,HROR,CH,45.93944539,8.977679677,,,,,6385,,
H234,Harrsele,210,,HROR,SE,64.000342,19.566667,29,4.8,,968,781,,
H2340,Lunschania,0.94,,HROR,CH,46.66015035,9.188230385,,,,,5298,,
H2341,Brummbach braunwald,0.93,,HROR,CH,46.93860819,8.983050615,,,,,4249,,
H2342,Diesbach linth,0.93,,HROR,CH,46.95112776,9.028082335,,,,,4556,,
H2343,Mühlenplatz,0.93,,HROR,CH,47.05173377,8.301996655,,,,,5563,,
H2344,Pont neuf,0.93,,HROR,CH,46.07318487,7.055427017,,,,,5824,,
H2345,Haslen,0.92,,HROR,CH,46.9838748,9.060341551,,,,,4952,,
H2346,Moutier,0.92,,HROR,CH,47.26568755,7.349039421,,,,,5513,,
H2347,Tarasp ischla,0.92,,HROR,CH,46.78990298,10.283756,,,,,6213,,
H2348,Torrent soi,0.92,,HROR,CH,46.18603087,6.891049703,,,,,6284,,
H2349,Giessbach,0.9,,HROR,CH,46.73444273,8.018887644,,,,,4850,,
H2350,Lauenen louibach,0.9,,HROR,CH,46.42415333,7.318313953,,,,,5220,,
H2351,Preda bergün,0.9,,HROR,CH,46.58745777,9.77845017,,,,,5849,,
H2352,Realp,0.9,,HROR,CH,46.59934559,8.502297468,,,,,5928,,
H2353,"Schwanden f,blumer",0.9,,HROR,CH,46.99379408,9.077735512,,,,,6104,,
H2354,Rütiberg obersee,0.89,,HROR,CH,47.09360042,9.03731544,,,,,6023,,
H2355,Flims felsbach karstwasser,0.88,,HROR,CH,46.83409051,9.317652494,,,,,4757,,
H2356,Malters ettisbühl,0.87,,HROR,CH,47.03828553,8.165593221,,,,,5329,,
H2357,Charmey tzintre,0.86,,HROR,CH,46.61183292,7.176913,,,,,4395,,
H2358,Rütiberg brändbach,0.85,,HROR,CH,47.09360042,9.03731544,,,,,6022,,
H2359,Herrentöbeli,0.84,,HROR,CH,47.24477572,9.177916787,,,,,4963,,
H2360,Sigirino monteceneri,0.84,,HROR,CH,46.07743351,8.912533687,,,,,6139,,
H2361,Widen,0.83,,HROR,CH,47.56471365,9.077284716,,,,,6484,,
H2362,Interlaken,0.82,,HROR,CH,46.68264098,7.850107299,,,,,5096,,
H2363,Mühlefuhr,0.82,,HROR,CH,47.02656246,9.082684112,,,,,5562,,
H2364,Saxettal kammri,0.8,,HROR,CH,46.65762105,7.853444546,,,,,6098,,
H2365,Stroppel untersiggenthal,0.8,,HROR,CH,47.50273844,8.240296477,,,,,6182,,
H2366,Thorenberg,0.79,,HROR,CH,47.05257646,8.248047048,,,,,6245,,
H2367,Markovci,0.775,,HROR,SI,46.38817,15.92648,,,,4.74,1818,44867,
H2368,Moulinets sur l'orbe,0.77,,HROR,CH,46.72096978,6.532299496,,,,,5511,,
H2369,Oberems borterbach,0.75,,HROR,CH,46.24803169,7.709382581,,,,,2425,,
H237,KWO Produktion_2 - Innertkirchen 1 Hydroelectric Power Plant Switzerland,205,,HDAM,CH,46.716999,8.228,,14,21900,,3091,45447,
H2370,Talbach,0.75,,HROR,CH,47.1105411,9.270551756,,,,,6205,,
H2371,Walzmühle,0.74,,HROR,CH,47.02334749,8.394576485,,,,,6467,,
H2372,Rivaz le forestay,0.73,,HROR,CH,46.47464253,6.777709048,,,,,5986,,
H2373,Beulet,0.72,,HROR,CH,46.26823257,7.421004065,,,,,4155,,
H2374,Gsteig,0.72,,HROR,CH,46.38522809,7.268614256,,,,,4910,,
H2375,Laufen wasserfall,0.72,,HROR,CH,47.41968988,7.501173026,,,,,5221,,
H2376,Rasse,0.72,,HROR,CH,46.18132572,7.009207464,,,,,5922,,
H2377,Igiser mülbach landquart,0.71,,HROR,CH,46.95480199,9.566830333,,,,,5034,,
H2378,Rabiusawerk,0.71,,HROR,CH,46.84043063,9.542505418,,,,,5903,,
H2379,Stollen,0.71,,HROR,CH,47.03376162,8.237237617,,,,,6180,,
H2380,Frauenkirch,0.7,,HROR,CH,46.76886862,9.805581123,,,,,4770,,
H2381,Thur,0.7,,HROR,CH,47.55027583,9.142744634,,,,,6247,,
H2382,Jenins,0.694,,HROR,CH,46.99317803,9.554806522,,,,,5126,,
H2383,Buchs tobeläckerli,0.69,,HROR,CH,47.15623169,9.464565489,,,,,4253,,
H2384,Krauchbachwerk,0.64,,HROR,CH,46.95615284,9.159765348,,,,,5180,,
H2385,Manegg,0.64,,HROR,CH,47.33872649,8.520877823,,,,,5335,,
H2386,Lochmühle,0.63,,HROR,CH,47.46032554,9.439798119,,,,,5270,,
H2388,Freienstein,0.6,,HROR,CH,47.52869236,8.587030917,,,,,4771,,
H2389,Ingenbohl,0.6,,HROR,CH,47.00463378,8.611982099,,,,,5076,,
H2390,Sauterôt hérémence fmdb,0.6,,HROR,CH,46.17071741,7.40783043,,,,,6094,,
H2391,Töbeli,0.6,,HROR,CH,47.1248957,9.328650448,,,,,6329,,
H2392,Arbaz comba energies,0.59,,HROR,CH,46.26821778,7.378847861,,,,,4018,,
H2393,"C, h, ahedillo",0.59,,HROR,CH,47.44280863,7.593472467,,,,,4273,,
H2394,Riedji,0.59,,HROR,CH,46.23935966,7.890063308,,,,,5972,,
H2395,"Am,de dotation d'oelberg",0.58,,HROR,CH,46.79873405,7.165914943,,,,,3988,,
H2396,Arbaz sionne energie,0.58,,HROR,CH,46.2464389,7.363183375,,,,,4019,,
H2397,Hard wülflingen,0.58,,HROR,CH,47.51790559,8.673767584,,,,,4947,,
H2398,Niedergesteln,0.58,,HROR,CH,46.31421053,7.786176574,,,,,5600,,
H2399,Pilgersteg,0.56,,HROR,CH,47.26886719,8.87219842,,,,,5768,,
H24,Bissorte Hydroelectric 1/2/3,825,600,HPHS,FR,45.202,6.585,1160,39.5,3150,1690,1536,39783,WRI1002781
H240,Carrapatelo Carrapatelo - G1 - Carrapatelo Hydroelectric Power Plant Portugal,201,,HROR,PT,41.0849,-8.1306,,,,806.1,2921,43542,
H2400,Büttenen,0.55,,HROR,CH,47.44280863,7.593472467,,,,,4272,,
H2401,Chriz,0.55,,HROR,CH,46.30178188,7.790899627,,,,,4405,,
H2402,Mels halde,0.55,,HROR,CH,47.04454494,9.414273353,,,,,5378,,
H2403,"Twkw nessel u, mittubäch",0.55,,HROR,CH,46.28929892,8.024783615,,,,,6325,,
H2404,Floriffoux,0.540858921,,HROR,BE,50.4468,4.7767,,,,,870,42000,
H2405,Bruggmühle,0.54,,HROR,CH,47.34973098,8.339246074,,,,,4248,,
H2406,Äsch,0.52,,HROR,CH,46.8652358,8.810286832,,,,,6511,,
H2408,Fabrica vella,0.52,,HROR,CH,47.00714738,8.647151203,,,,,4727,,
H2409,Uznaberg uznach,0.51,,HROR,CH,47.23115989,8.964298631,,,,,6365,,
H241,Solina Solina - Solina Pumped Storage Hydroelectric Power Plant Poland,200,,HPHS,PL,49.3958323,22.4606916,,,840,,1550,42474,
H2410,Biberist,0.5,,HROR,CH,47.18352916,7.569110046,,,,,4170,,
H2411,Boudry les essert,0.5,,HROR,CH,46.95087683,6.842906442,,,,,4232,,
H2412,Engstlige,0.5,,HROR,CH,46.50688758,7.58273413,,,,,4665,,
H2413,Gerlafingen,0.5,,HROR,CH,47.1558501,7.544779979,,,,,4842,,
H2414,Linthkraft stiftung,0.5,,HROR,CH,46.92007484,8.996305732,,,,,5261,,
H2415,Plancanin,0.5,,HROR,CH,46.36389665,9.712656222,,,,,5796,,
H2416,Schwanden sne,0.5,,HROR,CH,46.994725,9.081840345,,,,,6106,,
H2417,Trinafour,0.5,,HROR,UK,56.699001,-4.408,,,,4,,,
H2418,Balavaud,0.48,,HROR,CH,46.22094907,7.256688856,,,,,4094,,
H2419,Erlenholz,0.48,,HROR,CH,47.45722642,9.368049001,,,,,4679,,
H242,Gerlos Gerlos-KW - Gerlos I-II Hydroelectric Power Plant Austria,200,,HDAM,AT,47.233704,11.899669,610.5,0.85,1200,320.3,65,45035,
H2420,Saxettal geissbrunnen,0.48,,HROR,CH,46.62837814,7.829977571,,,,,6097,,
H2421,Sennhof,0.47,,HROR,CH,47.46617504,8.756136879,,,,,6119,,
H2422,Turbinage jora afforêts,0.47,,HROR,CH,46.19115704,7.199796484,,,,,6317,,
H2423,Turbinage salvan et vernayaz,0.46,,HROR,CH,46.13383283,7.034684809,,,,,6318,,
H2424,Zour,0.46,,HROR,CH,46.27449779,7.352895558,,,,,6503,,
H2425,Blatten,0.45,,HROR,CH,46.42294306,7.822124202,,,,,4204,,
H2426,Gérignoz pontia,0.45,,HROR,CH,46.47327245,7.165215604,,,,,4936,,
H2427,Innere spinnerei,0.45,,HROR,CH,47.14032912,8.572503484,,,,,5082,,
H2428,"Les pontets com, riddes",0.45,,HROR,CH,46.12954581,7.251820266,,,,,5245,,
H2429,Rosswald gärsterna,0.45,,HROR,CH,46.31623833,8.034032094,,,,,6006,,
H2430,Bürglen säge,0.44,,HROR,CH,47.54725748,9.152214248,,,,,4271,,
H2431,Grabs bannwald,0.44,,HROR,CH,47.17262767,9.416893468,,,,,4874,,
H2432,"Thun eidg,",0.44,,HROR,CH,46.76159674,7.614695875,,,,,6246,,
H2433,Aarburg,0.42,,HROR,CH,47.31911784,7.903154137,,,,,3895,,
H2434,Murg merlen,0.41,,HDAM,CH,47.07290294,9.197623307,,,,,5525,,
H2435,Bätterkinden,0.4,,HROR,CH,47.13300389,7.544076021,,,,,4267,,
H2436,Dardin casut,0.4,,HROR,CH,46.75738163,9.049993378,,,,,4536,,
H2437,Niederlenz,0.4,,HROR,CH,47.39918853,8.176211468,,,,,5603,,
H2438,Step vallée bagnes,0.4,,HROR,CH,46.08276719,7.203116852,,,,,6179,,
H2439,Weinfelden model,0.4,,HROR,CH,47.56085106,9.102150629,,,,,6472,,
H2440,Blatten sak,0.38,,HROR,CH,47.30770042,9.567283487,,,,,4205,,
H2441,Jaun,0.38,,HROR,CH,46.6085005,7.269343603,,,,,5124,,
H2442,Lienz,0.38,,HROR,CH,47.27517475,9.525398933,,,,,5251,,
H2443,Rossfall,0.38,,HROR,CH,47.28685969,9.277793798,,,,,6005,,
H2444,"Seedorf trinkw, chuchibachq,",0.38,,HROR,CH,46.89920756,8.593407132,,,,,6113,,
H2445,Utzenstorf,0.38,,HROR,CH,47.14586466,7.546078738,,,,,6362,,
H2446,Dünnern olten,0.37,,HROR,CH,47.34863791,7.898646593,,,,,4575,,
H2447,Champagna,0.36,,HROR,CH,46.54192329,9.893476013,,,,,4391,,
H2448,Ew zürchersmühle,0.36,,HROR,CH,47.33180022,9.291783396,,,,,4714,,
H2449,Croseau saint gingolph,0.35,,HROR,CH,46.38772248,6.805809816,,,,,4513,,
H245,Beauchastel BEAUCHASTEL - Beauchastel Hydroelectric Power Station France,222,,HROR,FR,44.82397,4.81049,23,30,,,1576,39756,
H2450,Frinvillier,0.35,,HROR,CH,47.16834067,7.253712181,,,,,4776,,
H2451,Guarda ara,0.35,,HROR,CH,46.76848233,10.14298077,,,,,4915,,
H2452,Juramill,0.35,,HROR,CH,47.41051914,7.494670152,,,,,5143,,
H2453,Niederglatt gossau,0.35,,HROR,CH,47.43140012,9.175530139,,,,,5602,,
H2454,Pfungen,0.35,,HROR,CH,47.5214894,8.640919486,,,,,5759,,
H2455,Nenzlingen,0.34,,HROR,CH,47.4438497,7.547868534,,,,,5589,,
H2456,Micro centrale fontanney,0.3355,,HROR,CH,46.31706263,6.983983644,,,,,5396,,
H2457,Luterbach,0.3333,,HROR,CH,47.21419466,7.574728748,,,,,5299,,
H2458,Baltschieder,0.33,,HROR,CH,46.3075293,7.871676685,,,,,4101,,
H2459,Niedergesteln,0.33,,HROR,CH,46.31421053,7.786176574,,,,,5601,,
H246,Itoiz,198,,HDAM,ES,42.80375,-1.362083,95.04323147,417,234000,,,,
H2460,Rochers,0.33,,HROR,CH,46.26334294,7.352524241,,,,,5993,,
H2461,Blanches fontaines undervelier,0.32,,HROR,CH,47.29483845,7.221276989,,,,,4202,,
H2462,Niollet,0.32,,HROR,CH,46.02193593,7.121384412,,,,,5609,,
H2463,Taubenloch,0.32,,HROR,CH,47.16070765,7.261651302,,,,,6218,,
H2464,Vessy,0.32,,HROR,CH,46.17905674,6.170276834,,,,,6418,,
H2465,Ri di foch prato leventina,0.31,,HROR,CH,46.4801906,8.747534396,,,,,5968,,
H2466,Roseg samedan,0.31,,HROR,CH,46.51174319,9.878159147,,,,,6003,,
H2467,Schlossmühle frauenfeld,0.31,,HROR,CH,47.55388729,8.897962994,,,,,6103,,
H2468,Stäubenwald,0.31,,HROR,CH,46.72818112,8.620361466,,,,,6184,,
H2469,Bäch,0.3,,HROR,CH,47.2003433,8.72530004,,,,,4266,,
H247,Jochenstein Jochenstein Hydroelectric Power Plant Austria - Jochenstein Hydroelectric Power Plant Austria,66,,HROR,AT,48.5191878,13.7079666,,,,850,198,45169,
H2470,Bannwald,0.3,,HROR,CH,46.88682824,8.642348528,,,,,4104,,
H2471,Chasura,0.3,,HROR,CH,46.87027025,10.43580135,,,,,4397,,
H2472,Interlaken,0.3,,HROR,CH,46.68264098,7.850107299,,,,,5095,,
H2473,Nufenen,0.3,,HROR,CH,46.54305379,9.247951771,,,,,5632,,
H2474,Punt gronda tarschlims,0.3,,HROR,CH,46.83845165,9.265093353,,,,,5881,,
H2475,Rotzloch,0.3,,HROR,CH,46.96488319,8.331086665,,,,,6007,,
H2476,Tecnicama,0.3,,HROR,CH,46.28515565,9.174218376,,,,,6226,,
H2477,Flims felsbach bergwasser,0.28,,HROR,CH,46.83409051,9.317652494,,,,,4756,,
H2478,Pasarel Hydro Power Station,33,,HDAM,BG,42.5441,23.4861,116,655.3,,,,,
H2479,Centrale di Faubourg,10.6,,HROR,IT,45.716877,6.945111,,,,,,,
H248,Liptovská mara Liptovska MaraPS - Liptovska Mara Pumped Storage Hydroelectric Power Plant Slovakia,198,,HPHS,SK,49.09823,19.48484,,360,,,1555,42636,
H2480,Centrale di Aymavilles,8.6,,HROR,IT,45.710407,7.253837,,,,,,,
H2481,Centrale di Bard,4.1,,HROR,IT,45.604446,7.746439,,,,,,,
H2482,Centrale di Covalou,41,,HROR,IT,45.7743331,7.5951308,,,,,,,
H2483,Centrale di Isollaz,32,,HROR,IT,45.6892628,7.71111,,,,,,,
H2484,Maën Cignana,22,,HDAM,IT,45.868104,7.6147242,811,16,,,,,
H2485,Nus,48,,HROR,IT,45.7395178,7.4459142,,,,,,,
H2486,Maën Perreres,25,,HDAM,IT,45.8717692,7.6067958,483,0.07,80.1,,,,
H2487,Saint-Clair,31,,HROR,IT,45.7425728,7.6221486,,,,,,,
H2489,Prästforsens krv,3,,HDAM,SE,60.668611,17.076944,,,,,2870,,
H2490,Långå,156,,HDAM,SE,62.46369,13.08091,217,784,,400,,,
H2491,Jochenstein,66,,HROR,DE,48.51955,13.708869,,,,850,,,
H2492,Säckingen run-of-river,36.8,,HROR,DE,47.55828,7.9558,,,,,,,
H2493,Forb/ Murgwerk,22,,HROR,DE,48.66953,8.353117,,,,,,,
H2494,Reckingen,19,,HROR,DE,47.57122,8.338716,,,,,,,
H2495,WKW III,19,,HROR,DE,48.154,12.652,,,,,,,
H2496,Wassermühle Oetmannshausen,19,,HROR,DE,51.137898,9.972444,,,,,,,
H2497,WKW II,8.5,,HROR,DE,48.068,12.576,,,,,,,
H2498,Weserkraftwerk Bremen Turbine 1,5,,HROR,DE,53.061351,8.863932,,,,,,,
H25,Plavinas hpp Plavinas HPP - Plavinas Hydroelectric Power Plant Latvia,884,,HDAM,LV,56.583,25.2394,58,510,46330,1386,2964,42156,WRI1022436
H250,Frades I,196,,HPHS,PT,41.693192,-8.027951,,92.1,23520,220,3235,,
H2500,Weserkraftwerk Bremen Turbine 2,5,,HROR,DE,53.061364,8.863896,,,,,,,
H2502,Wasserkraftanlage Odertalsperre,4.86,,HROR,DE,51.646122,10.504712,,,,,,,
H2503,Biggekraftwerk Generator 1,4.8,,HROR,DE,51.116695,7.893554,,,,,,,
H2504,Biggekraftwerk Generator 1,4.8,,HROR,DE,51.116695,7.893554,,,,,,,
H2505,Biggekraftwerk Generator 1,4.8,,HROR,DE,51.116695,7.893554,,,,,,,
H2506,Biggekraftwerk Generator 1,4.8,,HROR,DE,51.116695,7.893554,,,,,,,
H2507,Biggekraftwerk Generator 2,4.8,,HROR,DE,51.11673,7.893335,,,,,,,
H2508,Biggekraftwerk Generator 2,4.8,,HROR,DE,51.11673,7.893335,,,,,,,
H2509,Biggekraftwerk Generator 2,4.8,,HROR,DE,51.11673,7.893335,,,,,,,
H251,Imatra Imatra - Imatra Hydroelectric Power Plant Finland,192,,HROR,FI,61.166797,28.774695,20,1.6,,,1635,45225,
H2510,Biggekraftwerk Generator 2,4.8,,HROR,DE,51.11673,7.893335,,,,,,,
H2511,Biggekraftwerk Generator 3,4.8,,HROR,DE,51.116742,7.893097,,,,,,,
H2512,Biggekraftwerk Generator 3,4.8,,HROR,DE,51.116742,7.893097,,,,,,,
H2513,Biggekraftwerk Generator 3,4.8,,HROR,DE,51.116742,7.893097,,,,,,,
H2514,Biggekraftwerk Generator 3,4.8,,HROR,DE,51.116742,7.893097,,,,,,,
H2515,Kraftwerk Rothenfels,4.2,,HROR,DE,49.90018,9.58676,,,,,,,
H2516,Wasserkraftanlage Okertalsperre,4.14,,HROR,DE,51.86256,10.471185,,,,,,,
H2517,WKW Großarmschlag Hauptkraftwerk,3.35,,HROR,DE,48.883166,13.359728,,,,,,,
