id,name,installed_capacity_MW,pumping_MW,type,country_code,lat,lon,dam_height_m,volume_Mm3,storage_capacity_MWh,avg_annual_generation_GWh,pypsa_id,GEO,WRI
H1276,Hautefage Hautefage Hydroelectric Power Station France - Hautefage Hydroelectric Power Station France,24.68152866,,HDAM,FR,45.06,1.994,,,,,3089,39748,
H1277,Cernaleve 1/2,24.4,,HROR,AL,42.02941667,20.55555278,,,,111.34,,,
H1279,Bele 1/2,16,,HROR,AL,42.06903611,20.46006667,,,,108.53,,,
H1280,Oresheke,24.26,,HROR,AL,42.02874167,20.53076389,,,,108.5,,,
H1281,Kalin + Kamenitsa + Pastra + Rila HPP,24.2,,HDAM,BG,42.07,23.13,1800,2.2,,,,,
H1282,Wasserburg,24.1,,HROR,DE,48.05699,12.22074,,,,,2714,,
H1283,Miljacka - Maljacka Hydroelectric Power Plant Croatia Croatia,24,,HROR,HR,44.001999,16.018999,,,,,,44838,
H1284,Paternion Paternion-KW - Paternion Hydroelectric Power Plant Austria,24,,HROR,AT,46.720841,13.645572,,,,,170,45183,
H1285,Detzem,24,,HROR,DE,49.810941,6.843882,,,,,2114,,
H1286,Dießbach,24,,HDAM,AT,47.5166667,12.8333333,,,,,2117,,
H1287,Vittjärv Vittjarv Hydroelectric Power Station Sweden - Vittjarv Hydroelectric Power Station Sweden,25.14110477,,HDAM,SE,65.8460275,21.5538235,,,,,780,42914,
H1288,Agordo,24,,HROR,IT,46.2855556,12.0375,,,,,3247,,
H1289,Cavilla,24,,HDAM,IT,45.919705,11.730896,,,,,3348,,
H129,Altenwörth Altenwoerth-KW - Altenwoerth Hydroelectric Power Plant Austria,328,,HROR,AT,48.374728,15.855343,37,,,1967,33,45055,
H1290,Triano,24,,HROR,IT,42.360941,14.138007,,,,,3832,,
H1291,Paternion-KW - Paternion Hydroelectric Power Plant Austria,24,,HDAM,AT,46.721001,13.645,,,,,,,
H1292,Cunovo Hydroelectric Power Plant Slovakia - Cunovo Hydroelectric Power Plant Slovakia,24,,HROR,SK,48.02987,17.2254,,,,,,42641,
H1293,Grudie Bridge GRUB-1,24,,HROR,UK,57.775002,-4.955,,,,87,,,
H1294,Shin SHIN-1,24,,HROR,UK,57.944,-4.417,,,,125,,,
H1298,Peuffeyre,24,,HROR,CH,46.26598336,7.061717565,,,,,2459,,
H1299,Raiva Raiva - Raiva Hydroelectric Power Plant Portugal,24,,HDAM,PT,40.3095,-8.2488,34,12,,44.9,3168,43578,
H13,Markersbach PSW Markersbach PSS A - Markersbach Pumped Storage Power Plant Germany,1045.2,1050,HPHS,DE,50.51938,12.87976,285,6.3,3989,,1545,44337,WRI1005937
H130,Edison VENINA (UP_ALTOADDA_1),146,,HDAM,IT,46.160365,9.936609,719,0.11,187,276,271,,
H1300,Myllykosken vesivoimalaitos VVA2,24,,HROR,FI,60.868056,26.70416,,,,15,,,
H1301,Chaudanne Chaudanne Hydroelectric Power Station France - Chaudanne Hydroelectric Power Station France,23.99044586,,HDAM,FR,43.848,6.544,,,,,3052,39705,
H1302,Turtmann,23.9,,HDAM,CH,46.29540226,7.685998364,33,0.78,,,2659,,
H1303,Hagneck,23.87,,HROR,CH,47.05962457,7.178008446,,,,,4941,,
H1304,Bergheim,23.7,,HROR,DE,48.750807,11.273237,,,,,2011,,
H1305,Wald,23.5,,HDAM,AT,47.9044444,13.0263889,,,,,2710,,
H1307,Flumenthal,23.4,,HROR,CH,47.22910691,7.589951686,,,,,2161,,
H1308,Monthey vièze,23.4,,HROR,CH,46.24926021,6.947207053,,,,,2688,,
H1309,Vila Cova,23.4,,HROR,PT,40.22,-7.43,,,,64,,,
H131,Ricobayo RICOBA II1 - Ricobayo Hydroelectric Power Plant Spain,326.57,,HDAM,ES,41.5260254,-5.9845018,302.9,1145,,,173,44134,
H1310,Vohburg,23.3,,HROR,DE,48.778103,11.60119,,,,,2705,,
H1311,Stammham,23.2,,HROR,DE,48.24932,12.86469,,,,,2604,,
H1313,Bardonecchia,23,,HDAM,IT,45.078338,6.703201,,,,,3282,,
H1314,Calice,23,,HROR,IT,46.11650217,8.293132782,,,,,3323,,
H1315,Pian della rocca,23,,HROR,IT,43.978948,10.545703,,,,,3678,,
H1316,Salisano,23,,HROR,IT,42.259328,12.745778,,,,,3751,,
H1317,Volturno,23,,HROR,IT,41.625824,14.089016,,,,,3884,,
H1318,Zuino,23,,HROR,IT,45.712165,7.882814,,,,,3891,,
H1319,Landl-KW,23,,HDAM,AT,47.660999,14.73,,,,,,,
H132,MEQUINENZA,324,,HDAM,ES,41.368999,0.274,81,1533.8,265000,593,,,
H1321,Ruppoldingen,23,,HROR,CH,47.31229156,7.877702174,,,,,2541,,
H1322,Racova,23,,HDAM,RO,46.695417,26.712917,20,8.66,,60,,,
H1323,Cize bolozon Cize Bolozon Hydroelectric Power Station France - Cize Bolozon Hydroelectric Power Station France,22.70700637,,HDAM,FR,46.211,5.465,,,,,3031,39699,
H1325,Stechovice-I Hydroelectric Power Plant Czech Republic - Stechovice-I Hydroelectric Power Plant Czech Republic,22.5,,HDAM,CZ,49.84625,14.42176,22.5,11.2,,,,42360,
H1326,Sklope Sklope - Sklope Hydroelectric Power Plant Croatia Croatia,22.5,,HROR,HR,44.6895,15.2706,,,,84.6,3195,44845,
H1327,Kokalyane HPP,22.4,,HDAM,BG,42.58398,23.42819,98.5,2.7,,,,,
H1328,Stara Zagora HPP,22.4,,HROR,BG,42.4452,25.6364,132,142.4,,62,,,
H1329,Pfrombach,22.3,,HROR,DE,48.44132,11.99233,,,,,2462,,
H133,Biasca,324,,HDAM,CH,46.33498852,8.982649599,92,4.6,,658,2018,,
H1331,Triouzoune Hydroelectric Power Station France - Triouzoune Hydroelectric Power Station France,22,,HDAM,FR,45.347,2.349,27,24,,,,39752,
H1332,Touvedo Touvedo - Touvedo Hydroelectric Power Plant Portugal,22,,HDAM,PT,41.8124,-8.354,42,4.5,200,66.8,3210,43571,
H1335,Fisching,22,,HROR,AT,47.1743,14.723143,,,,,386,,
H1336,Pernegg,22,,HROR,AT,47.365229,15.334486,,,,,494,,
H1337,Martigny bourg,22,,HROR,CH,46.08830987,7.059069767,,,,,2369,,
H1338,Halvfari,24,,HDAM,SE,62.41656,13.531137,,,,,2846,,
H1339,Alanno,22,,HROR,IT,42.295438,13.971105,,,,,3251,,
H134,Sainte Helene - La Coche,320,340,HPHS,FR,45.49667,6.51038,34,2.1,930,,1538,39819,
H1340,Muzzone Coghinas ,22,,HDAM,IT,40.719766,9.101024,50,223.9,,50.929,3365,,
H1341,Kokin Brod Hydroelectric Power Plant Serbia - Kokin Brod Hydroelectric Power Plant Serbia,22.7,,HDAM,RS,43.5189,19.8115,,250,,,,44126,
H1342,Seekraftwerk zervreila,22,,HDAM,CH,46.57894959,9.119315564,151,,,,1910,,
H1343,Lura 1/3,16.22,,HROR,AL,41.81460833,20.21796944,,,49.52,106.616528,,,
